date,temperature,humidity,wind_speed,pressure,precipitation,cloud_cover
2014-01-01,4.5,77.0,2.9,1013.0,0.0,73.3
2014-01-02,2.6,77.7,3.3,1017.1,0.0,60.3
2014-01-03,5.0,77.2,7.0,1023.0,0.0,58.5
2014-01-04,7.6,70.8,1.9,1013.7,0.0,80.4
2014-01-05,2.3,75.7,2.1,1017.4,0.0,60.8
2014-01-06,2.4,76.7,5.9,1026.2,0.0,74.3
2014-01-07,7.8,74.9,0.6,1012.8,6.7,98.7
2014-01-08,5.4,64.4,2.2,1020.9,0.0,61.6
2014-01-09,1.7,75.6,11.5,1011.1,0.3,100.0
2014-01-10,4.8,85.8,7.9,1013.3,0.0,85.8
2014-01-11,1.8,72.9,4.6,1018.5,0.0,71.3
2014-01-12,1.9,71.0,7.1,1025.6,1.2,89.1
2014-01-13,4.0,76.5,8.3,1013.9,0.0,59.8
2014-01-14,-2.4,76.1,1.3,1017.1,5.2,100.0
2014-01-15,-1.8,80.5,3.4,1022.7,0.0,70.0
2014-01-16,1.8,68.1,12.6,1021.8,0.0,57.1
2014-01-17,0.5,78.0,6.0,1015.1,2.7,100.0
2014-01-18,4.5,77.2,6.3,1015.6,0.0,69.2
2014-01-19,0.9,73.5,4.9,1025.5,0.4,100.0
2014-01-20,-0.5,75.8,0.8,1014.9,1.3,100.0
2014-01-21,8.2,79.2,3.0,1018.1,0.3,86.1
2014-01-22,3.2,78.3,6.8,1016.3,0.0,61.7
2014-01-23,4.1,68.1,3.4,1025.4,7.9,88.2
2014-01-24,-0.3,77.8,2.0,1023.5,0.0,78.1
2014-01-25,2.5,73.3,2.3,1023.7,2.4,78.1
2014-01-26,4.5,73.9,12.8,1015.5,0.0,68.8
2014-01-27,0.8,73.8,3.3,1024.2,1.3,100.0
2014-01-28,5.5,72.5,11.1,1021.7,0.0,71.4
2014-01-29,2.7,79.1,6.3,1021.8,3.5,98.3
2014-01-30,3.7,72.6,4.2,1017.2,0.0,73.1
2014-01-31,2.9,67.3,2.6,1019.9,0.0,49.2
2014-02-01,10.3,70.8,8.0,1006.1,0.0,70.3
2014-02-02,4.9,73.5,10.2,1026.9,0.0,62.9
2014-02-03,1.8,78.6,8.6,1016.6,0.0,69.1
2014-02-04,7.6,75.4,1.5,1015.0,1.4,95.7
2014-02-05,1.6,68.0,3.3,1013.1,0.0,64.5
2014-02-06,6.0,84.5,3.6,1020.9,0.0,63.4
2014-02-07,-0.4,73.2,0.7,1023.3,1.7,100.0
2014-02-08,1.6,78.1,7.0,1018.2,0.0,76.8
2014-02-09,6.3,70.8,7.7,1005.7,0.0,57.8
2014-02-10,8.1,74.1,7.6,1012.9,0.0,64.1
2014-02-11,6.5,75.4,6.7,1019.5,0.0,56.9
2014-02-12,5.8,77.2,3.9,1018.8,3.9,85.6
2014-02-13,5.4,76.2,2.5,1017.6,18.2,98.2
2014-02-14,2.0,75.1,3.9,1017.4,2.5,97.1
2014-02-15,4.4,69.0,6.3,1010.4,1.2,85.6
2014-02-16,5.4,67.5,11.8,1022.6,0.0,45.0
2014-02-17,10.1,71.8,5.3,1008.3,0.9,96.4
2014-02-18,8.1,74.6,5.2,1015.4,0.0,61.0
2014-02-19,1.9,68.7,0.7,1014.4,0.0,51.2
2014-02-20,8.3,74.9,6.6,1021.3,0.0,77.7
2014-02-21,6.4,76.6,12.4,1020.2,29.8,86.9
2014-02-22,5.7,64.6,4.6,1015.9,3.7,90.2
2014-02-23,9.7,64.8,4.3,1019.1,0.0,39.8
2014-02-24,11.1,68.1,3.7,1007.5,2.2,73.7
2014-02-25,11.0,70.1,8.2,1014.6,0.0,64.9
2014-02-26,5.8,65.7,0.7,1012.3,0.0,52.4
2014-02-27,7.6,74.9,11.1,1021.8,2.0,83.2
2014-02-28,9.7,70.0,4.2,1017.5,0.0,69.5
2014-03-01,11.8,67.9,6.7,1017.8,13.0,91.6
2014-03-02,7.6,60.3,8.7,1013.9,0.0,29.0
2014-03-03,8.7,60.7,2.2,1019.9,2.9,90.3
2014-03-04,6.1,68.4,4.9,1011.9,0.0,47.8
2014-03-05,6.0,56.1,4.1,1012.6,0.0,29.0
2014-03-06,12.2,71.6,1.8,1013.5,1.0,83.4
2014-03-07,14.1,65.5,10.1,1008.8,1.1,85.1
2014-03-08,10.0,82.3,3.8,1019.1,5.9,100.0
2014-03-09,13.4,77.4,1.7,1011.4,0.0,51.0
2014-03-10,11.6,64.7,5.2,1009.3,7.6,70.6
2014-03-11,8.8,64.8,1.3,1010.0,0.0,47.2
2014-03-12,12.0,70.1,3.4,1018.0,0.0,53.1
2014-03-13,15.7,73.4,6.2,999.9,0.0,71.0
2014-03-14,11.2,56.4,1.1,1009.8,0.0,42.3
2014-03-15,16.2,55.5,7.9,1019.4,5.0,82.9
2014-03-16,3.9,61.0,5.4,1016.8,0.0,62.0
2014-03-17,14.4,66.8,8.7,1016.9,0.0,62.4
2014-03-18,12.4,66.1,8.6,1016.4,0.0,25.4
2014-03-19,11.4,68.7,3.4,1013.8,0.0,55.7
2014-03-20,12.8,57.1,3.4,1005.8,0.0,45.5
2014-03-21,6.8,51.3,7.1,1010.5,0.0,40.8
2014-03-22,12.3,66.9,1.9,1007.6,0.0,36.1
2014-03-23,14.2,58.2,1.9,1015.8,0.0,40.6
2014-03-24,17.8,52.0,3.0,1015.0,3.3,58.4
2014-03-25,12.0,62.6,1.4,1010.1,0.0,43.3
2014-03-26,11.3,65.6,1.7,1014.4,7.9,83.0
2014-03-27,12.5,60.7,1.7,1014.3,0.0,43.3
2014-03-28,16.9,58.8,3.9,1012.4,0.0,40.3
2014-03-29,15.4,60.0,3.7,1009.0,0.0,48.1
2014-03-30,13.0,58.7,9.6,1022.2,0.0,43.8
2014-03-31,16.3,53.6,3.9,1015.7,0.0,45.6
2014-04-01,15.3,56.5,4.6,1013.2,0.0,42.3
2014-04-02,18.1,62.4,15.1,1008.9,0.0,36.7
2014-04-03,13.3,61.2,0.4,1009.7,0.0,40.8
2014-04-04,14.6,60.1,5.8,1015.2,0.0,46.8
2014-04-05,14.6,54.1,4.2,1010.8,0.0,39.6
2014-04-06,11.6,57.9,6.2,1015.3,0.0,33.7
2014-04-07,17.1,47.6,3.1,1002.4,0.0,44.4
2014-04-08,17.2,59.2,3.9,1009.2,0.0,52.3
2014-04-09,16.7,65.1,11.4,1011.6,0.0,49.1
2014-04-10,16.2,50.4,7.0,1017.3,4.7,68.7
2014-04-11,12.8,54.6,4.0,1009.5,0.0,33.8
2014-04-12,16.0,58.9,2.6,1005.1,0.0,57.4
2014-04-13,16.4,63.3,1.9,1014.5,0.0,73.9
2014-04-14,15.3,54.5,3.3,1012.5,0.0,38.0
2014-04-15,17.4,53.0,4.3,1003.2,0.0,55.3
2014-04-16,19.3,46.4,15.1,1002.5,0.0,27.8
2014-04-17,23.9,56.5,5.5,1005.3,0.0,41.2
2014-04-18,19.0,65.9,2.8,1010.6,0.0,70.3
2014-04-19,19.4,56.9,0.4,1017.7,0.0,45.7
2014-04-20,18.6,55.1,2.5,1005.8,2.2,82.0
2014-04-21,13.3,56.6,3.3,1016.5,2.0,73.9
2014-04-22,19.2,54.7,5.9,1001.1,3.5,56.7
2014-04-23,19.6,50.4,3.4,1012.5,0.0,63.8
2014-04-24,27.0,58.4,15.6,1014.5,7.4,76.2
2014-04-25,19.3,55.2,4.1,1011.6,0.0,46.7
2014-04-26,20.9,53.9,9.9,1006.7,0.0,36.6
2014-04-27,20.1,48.7,1.0,1016.6,0.0,46.5
2014-04-28,16.9,59.9,4.7,1013.8,1.8,86.9
2014-04-29,24.0,56.4,2.5,1009.3,0.0,30.9
2014-04-30,23.0,50.1,10.1,1003.9,0.0,41.8
2014-05-01,23.3,57.7,3.6,1010.7,0.0,56.4
2014-05-02,18.4,49.9,11.6,1007.9,0.0,51.9
2014-05-03,25.5,48.3,7.8,1009.3,0.0,44.8
2014-05-04,17.3,48.2,3.2,1012.1,0.0,45.5
2014-05-05,23.4,42.9,1.9,1014.2,0.0,27.5
