date,temperature,humidity,wind_speed,pressure,precipitation,cloud_cover,day_of_year,year,month,day_sin,day_cos,temp_roll_7,temp_roll_30,temp_lag_1,temp_lag_7
2014-01-01,4.5,77.0,2.9,1013.0,0.0,73.3,1,2014,1,0.017213356155834685,0.9998518392091162,4.5,4.5,4.5,4.5
2014-01-02,2.6,77.7,3.3,1017.1,0.0,60.3,2,2014,1,0.03442161162274574,0.9994074007397048,3.55,3.55,4.5,4.5
2014-01-03,5.0,77.2,7.0,1023.0,0.0,58.5,3,2014,1,0.051619667223253764,0.998666816288476,4.033333333333333,4.033333333333333,2.6,4.5
2014-01-04,7.6,70.8,1.9,1013.7,0.0,80.4,4,2014,1,0.06880242680231986,0.9976303053065857,4.925,4.925,5.0,4.5
2014-01-05,2.3,75.7,2.1,1017.4,0.0,60.8,5,2014,1,0.08596479873744647,0.9962981749346078,4.4,4.4,7.6,4.5
2014-01-06,2.4,76.7,5.9,1026.2,0.0,74.3,6,2014,1,0.10310169744743485,0.9946708199115211,4.066666666666666,4.066666666666666,2.3,4.5
2014-01-07,7.8,74.9,0.6,1012.8,6.7,98.7,7,2014,1,0.1202080448993527,0.9927487224577402,4.6000000000000005,4.6000000000000005,2.4,4.5
2014-01-08,5.4,64.4,2.2,1020.9,0.0,61.6,8,2014,1,0.13727877211326478,0.9905324521322229,4.728571428571429,4.7,7.8,4.5
2014-01-09,1.7,75.6,11.5,1011.1,0.3,100.0,9,2014,1,0.15430882066428117,0.9880226656636976,4.6,4.366666666666666,5.4,2.6
2014-01-10,4.8,85.8,7.9,1013.3,0.0,85.8,10,2014,1,0.1712931441814776,0.9852201067560606,4.571428571428571,4.41,1.7,5.0
2014-01-11,1.8,72.9,4.6,1018.5,0.0,71.3,11,2014,1,0.1882267098432442,0.9821256058680006,3.742857142857143,4.172727272727273,4.8,7.6
2014-01-12,1.9,71.0,7.1,1025.6,1.2,89.1,12,2014,1,0.2051044998686192,0.9787400799669153,3.685714285714286,3.983333333333333,1.8,2.3
2014-01-13,4.0,76.5,8.3,1013.9,0.0,59.8,13,2014,1,0.2219215130041655,0.9750645322571948,3.9142857142857146,3.9846153846153842,1.9,2.4
2014-01-14,-2.4,76.1,1.3,1017.1,5.2,100.0,14,2014,1,0.2386727660059501,0.9711000518829505,2.457142857142857,3.5285714285714285,4.0,7.8
2014-01-15,-1.8,80.5,3.4,1022.7,0.0,70.0,15,2014,1,0.255353295116187,0.9668478136052775,1.4285714285714286,3.1733333333333333,-2.4,5.4
2014-01-16,1.8,68.1,12.6,1021.8,0.0,57.1,16,2014,1,0.2719581575341055,0.9623090774541486,1.442857142857143,3.0875,-1.8,1.7
2014-01-17,0.5,78.0,6.0,1015.1,2.7,100.0,17,2014,1,0.288482432880609,0.9574851883550393,0.8285714285714286,2.9352941176470586,1.8,4.8
2014-01-18,4.5,77.2,6.3,1015.6,0.0,69.2,18,2014,1,0.30492122465628907,0.9523775757303974,1.2142857142857142,3.022222222222222,0.5,1.8
2014-01-19,0.9,73.5,4.9,1025.5,0.4,100.0,19,2014,1,0.3212696616923644,0.9469877530760753,1.0714285714285716,2.9105263157894736,4.5,1.9
2014-01-20,-0.5,75.8,0.8,1014.9,1.3,100.0,20,2014,1,0.3375228995941133,0.9413173175128471,0.42857142857142866,2.7399999999999998,0.9,4.0
2014-01-21,8.2,79.2,3.0,1018.1,0.3,86.1,21,2014,1,0.3536761221763716,0.9353679493131483,1.9428571428571428,3.0,-0.5,-2.4
